J1844+0034  18 44 11.  +00 35 00   PSR J1844+00
J1845-0316  18 45 52.9 -03 16 05   PSR J1845-0316
J1846-0258  18 46 24.9 -02 58 30   PSR J1846-0258
J1847-0130  18 47 35.2 -01 30 46   PSR J1847-0130
J1851-0029  18 51 55.1 -00 29 58   PSR J1851-0029
J1913+0446  19 13 50.8 +04 46 06   PSR J1913+0446
J1913+0832  19 13 00.5 +08 32 05   PSR J1913+0832
J1913+1011  19 13 20.3 +10 11 23   PSR J1913+1011
J1957+2831  19 57 19.4 +28 31 44   PSR J1957+2831
J2021+3651  20 21 04.5 +36 51 27   PSR J2021+3651
J2229+6114  22 29 05.0 +61 14 13   PSR J2229+6114
