4U 0142+61   0146+6145  1 51141.      248.         650.    150.       14.        5.      47
J0631+1036   0631+1036 10 54099.        2.           0.4      .1      -0.2        .1     60
J0631+1036   0631+1036 11 54170.4        .1          1.6      .1      -0.1        .1     60
J0631+1036   0631+1036 12 54632.530      .002       43.2      .1       3.3        .2     60
J0633+1746   0633+1746  1 50382.                     0.6                                 24
B0656+14     0659+1414  1 50197.        8.           0.6      .4       0.3        .5     60
B0656+14     0659+1414  2 51017.        3.           1.3      .1       1.8        .6     60
B0727-18     0729-1836  1 51421.9        .5          1.0      .5      -2.        3.      60
B0727-18     0729-1836  2 52150.        3.           4.      1.        6.        2.      60
J0729-1448   0729-1448  1 52010.        1.          24.8      .4       1.6        .3     60
J0729-1448   0729-1448  2 54317.7        .2         23.      1.        4.        3.      60
J0729-1448   0729-1448  3 54483.6        .3         13.      1.        1.        1.      60
J0729-1448   0729-1448  4 54592.        1.          12.      1.       -2.        2.      60
J0729-1448   0729-1448  5 54687.        3.        6676.      9.       54.        5.      60
B0740-28     0742-2822  1 47625.        3.           1.2      .1      -0.8        .3     60, also in 8
B0740-28     0742-2822  2 48331.7        .3          1.2      .1      -1.3        .5     60, also in 8
B0740-28     0742-2822  3 51770.       20.           1.0      .3       0.9        .2     25
B0740-28     0742-2822  4 52028.        2.           3.7      .2       4.        1.      60, also in 25
B0740-28     0742-2822  5 53083.1        .5          1.7      .2      -1.        1.      60, also in 25
B0740-28     0742-2822  6 53467.7        .3          1.8      .1       4.6        .5     60, also in 25
B0740-28     0742-2822  7 55020.469      .004       92.      2.     -372.       96.      60
B0756-15     0758-1528  1 49963.        4.           0.11     .03      2.        2.      60
B0833-45     0835-4510  1 40280.        4.        2340.     10.       10.        1.      14
B0833-45     0835-4510  2 41192.        8.        2050.     30.       15.        6.      14
B0833-45     0835-4510  3 41312.        4.          12.      2.        3.        6.      6
B0833-45     0835-4510  4 42683.        3.        1990.     10.       11.        7.      14
B0833-45     0835-4510  5 43693.       12.        3060.     60.       18.        9.      14
B0833-45     0835-4510  6 44888.4        .4       1145.      3.       49.        4.      5
B0833-45     0835-4510  7 45192.        1.        2050.     10.       23.        1.      5
B0833-45     0835-4510  8 46257.228      .001     1601.      1.       17.        1.      43
B0833-45     0835-4510  9 47519.8036     .0001    1805.      1.       77.        6.      44
B0833-45     0835-4510 10 48457.382      .001     2715.      2.      600.       60.      18
B0833-45     0835-4510 11 49559.0        .2        835.      2.        0.        5.      17
B0833-45     0835-4510 12 49591.2                  199.      2.      120.       20.      20
B0833-45     0835-4510 13 50369.345      .002     2110.     17.        5.95       .03    54
B0833-45     0835-4510 14 51559.319      .001     3085.72     .04      6.736      .001   13
B0833-45     0835-4510 15 53193.                  2100.                                  12
B0833-45     0835-4510 16 53960.                  2620.              230.       40.      16
B1046-58     1048-5832  1 48944.        2.          19.      2.        0.3        .1     54
B1046-58     1048-5832  2 49034.        9.        3000.     10.        3.7        .1     54
B1046-58     1048-5832  3 50791.49       .05       768.      1.       14.        5.      53
1E 1048    b 1048-5937  1 52386.        2.        2900.    100.       76.        4.      11
1E 1048      1048-5937  2 54185.9        .1      16300.    200.     -111.       74.      10
J1105-6107   1105-6107  1 50417.       16.         279.7      .2       4.63       .04    54
J1105-6107   1105-6107  2 50610.        3.           2.      3.        0.19       .01    54
J1119-6127   1119-6127  1 51398.        4.           4.4      .4       0.04       .01    2
J1123-6259   1123-6259  1 49705.87       .01       749.      1.        1.0        .4     54
J1141-3322   1141-3322  1 50521.31       .03         0.4      .1      -4.        5.      60
B1259-63     1302-6350  1 50691.        1.           3.2      .1       2.5        .1     55
B1325-43     1328-4357  1 43590.       24.         116.                                  48
